Sun Apr 24 00:53:53 2016    profile

         1412500 function calls (1409886 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(__enter__)
        8    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:847(length)
      246    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       61    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:153(__len__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(parent)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:47(_localized_month)
      222    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        5    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:432(<listcomp>)
      208    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_compile.py:386(_simple)
       69    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\functions.py:110(maxdate)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(__init__)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:264(_check_date_fields)
        4    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:479(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:195(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1175(__init__)
       16    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:362(_escape)
       63    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        9    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:30(_relax_case)
        8    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       44    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:75(groups)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\copyreg.py:96(_slotnames)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:314(__enter__)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:789(find_spec)
       35    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:247(_check_int_field)
      208    0.000    0.000    0.000    0.000 {method 'weekday' of 'datetime.date' objects}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:324(<genexpr>)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:277(_check_time_fields)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:379(_check_name_wrapper)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:783(__init__)
        6    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:260(getuntil)
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:251(getwhile)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:1029(__new__)
       85    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        9    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:797(fix_flags)
       18    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_compile.py:513(isstring)
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
       21    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:513(__neg__)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_bootlocale.py:11(getpreferredencoding)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:671(__new__)
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\SClass.py:8(<module>)
       11    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:1310(datetime)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:49(<listcomp>)
       10    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:105(__calc_am_pm)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\decoder.py:283(__init__)
        9    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:70(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\pointListGenerator.py:8(<module>)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
        9    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:319(timedelta)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:745(exec_module)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:162(__calc_timezone)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:641(date)
       47    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_w_long)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:66(_localized_day)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:235(_requires_builtin_wrapper)
       32    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
       32    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\functions.py:7(<module>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:1004(time)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
       19    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:126(Calendar)
       69    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       20    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00000000614FCBA0}
       20    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:69(<listcomp>)
       45    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
